DATE,SP500_PCH
2015-01-01,-3.10408
2015-02-01,5.48925
2015-03-01,-1.73961
2015-04-01,0.85208
2015-05-01,1.04914
2015-06-01,-2.10118
2015-07-01,1.97420
2015-08-01,-6.25808
2015-09-01,-2.64428
2015-10-01,8.29831
2015-11-01,0.05050
2015-12-01,-1.75302
2016-01-01,-5.07353
2016-02-01,-0.41284
2016-03-01,6.59911
2016-04-01,0.26994
2016-05-01,1.53295
2016-06-01,0.09061
2016-07-01,3.56098
2016-08-01,-0.12192
2016-09-01,-0.12345
2016-10-01,-1.94256
2016-11-01,3.41744
2016-12-01,1.82008
2017-01-01,1.78843
2017-02-01,3.71983
2017-03-01,-0.03892
2017-04-01,0.90912
2017-05-01,1.15762
2017-06-01,0.48138
2017-07-01,1.93488
2017-08-01,0.05465
2017-09-01,1.93029
2017-10-01,2.21882
2017-11-01,2.80826
2017-12-01,0.98316
2018-01-01,5.61787
2018-02-01,-3.89474
2018-03-01,-2.68845
2018-04-01,0.27188
2018-05-01,2.16084
2018-06-01,0.48424
2018-07-01,3.60216
2018-08-01,3.02632
2018-09-01,0.42943
2018-10-01,-6.94034
2018-11-01,1.78594
2018-12-01,-9.17770
2019-01-01,7.86844
2019-02-01,2.97289
2019-03-01,1.79243
2019-04-01,3.93134
2019-05-01,-6.57777
2019-06-01,6.89302
2019-07-01,1.31282
2019-08-01,-1.80917
2019-09-01,1.71812
2019-10-01,2.04317
2019-11-01,3.40471
2019-12-01,2.85898
2020-01-01,-0.16281
2020-02-01,-8.41105
2020-03-01,-12.51193
2020-04-01,12.68441
2020-05-01,4.52818
2020-06-01,1.83884
2020-07-01,5.51013
2020-08-01,7.00647
2020-09-01,-3.92280
2020-10-01,-2.76658
2020-11-01,10.75457
2020-12-01,3.71214
2021-01-01,-1.11366
2021-02-01,2.60915
2021-03-01,4.24386
2021-04-01,5.24253
2021-05-01,0.54865
2021-06-01,2.22140
2021-07-01,2.27481
2021-08-01,2.89903
2021-09-01,-4.75691
2021-10-01,6.91439
